,Unnamed: 0,Brand,Title,Sku,Model,Url,Categories
1167,1167,LG ,InstaView Smart Wi-Fi Enabled 21.9-cu ft Counter-depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1296189,LFXC22596D,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-21-9-cu-ft-Counter-depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000853094,['Counter-Depth Refrigerators']
1168,1168,GE ,21.8-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Slate),1323706,GZS22IMNES,https://www.lowes.com/pd/GE-21-8-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Slate/1000859884,['Counter-Depth Refrigerators']
1169,1169,GE ,21.8-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Black Stainless),1323704,GZS22IBNTS,https://www.lowes.com/pd/GE-21-8-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Black-Stainless/1000859868,['Counter-Depth Refrigerators']
1170,1170,GE ,21.8-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate),1323705,GZS22IENDS,https://www.lowes.com/pd/GE-21-8-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate/1000859876,['Counter-Depth Refrigerators']
1171,1171,Fisher & Paykel ,4 16.9-cu ft Counter-Depth French Door Refrigerator with Ice Maker (Stainless Steel),1034293,RF170ADUSX4 N,https://www.lowes.com/pd/Fisher-Paykel-4-16-9-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Ezkleen-Stainless-Steel/1000816074,['Counter-Depth Refrigerators']
1172,1172,Samsung ,Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1392373,RF22R7551SR,https://www.lowes.com/pd/Samsung-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000948468,['Counter-Depth Refrigerators']
1173,1173,Samsung ,Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Tuscan Stainless Steel) ENERGY STAR,1392376,RF22R7551DT,https://www.lowes.com/pd/Samsung-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Tuscan-Stainless-Steel-ENERGY-STAR/1000948576,['Counter-Depth Refrigerators']
1174,1174,Cafe ,18.6-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Matte White) ENERGY STAR,1442919,CWE19SP4NW2,https://www.lowes.com/pd/Cafe-18-6-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Matte-White-ENERGY-STAR/1000955580,['Counter-Depth Refrigerators']
1175,1175,Chambers ,Fun Fridge 7-cu ft Counter-depth Bottom-Freezer Refrigerator (Frost White) ENERGY STAR,1303604,MRB192-07FW,https://www.lowes.com/pd/Chambers-Fun-Fridge-7-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Frost-White-ENERGY-STAR/1000907570,['Counter-Depth Refrigerators']
1176,1176,Chambers ,Fun Fridge 8.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Butter Cream) ENERGY STAR,1303603,MRB192-07BC,https://www.lowes.com/pd/Chambers-Fun-Fridge-8-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Butter-Cream-ENERGY-STAR/1000907544,['Counter-Depth Refrigerators']
1177,1177,Chambers ,Vintage 10-cu ft Counter-Depth Top-Freezer Refrigerator (Sky Blue),1312505,MRS330-09SB,https://www.lowes.com/pd/Chambers-Vintage-10-cu-ft-Counter-Depth-Top-Freezer-Refrigerator-Sky-Blue/1000896798,['Counter-Depth Refrigerators']
1178,1178,Cafe ,18.6-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1323698,CWE19SP2NS1,https://www.lowes.com/pd/Cafe-18-6-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000859820,['Counter-Depth Refrigerators']
1179,1179,Cafe ,21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Stainless Steel),1323699,CZS22MP2NS1,https://www.lowes.com/pd/Cafe-21-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1000859828,['Counter-Depth Refrigerators']
1180,1180,Cafe ,18.6-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Matte Black) ENERGY STAR,1442918,CWE19SP3ND1,https://www.lowes.com/pd/Cafe-18-6-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Matte-Black-ENERGY-STAR/1000955576,['Counter-Depth Refrigerators']
1181,1181,GE ,Profile 23.1-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,1073621,PWE23KELDS,https://www.lowes.com/pd/GE-Profile-23-1-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000448019,['Counter-Depth Refrigerators']
1182,1182,GE ,Cafe 22.2-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,847940,CYE22UELDS,https://www.lowes.com/pd/GE-Cafe-22-2-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000264777,['Counter-Depth Refrigerators']
1183,1183,Whirlpool ,20.5-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),968871,WRSA71CIHZ,https://www.lowes.com/pd/Whirlpool-20-5-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000460273,['Counter-Depth Refrigerators']
1184,1184,Frigidaire ,Gallery 21.7-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1100480,FGHD2368TF,https://www.lowes.com/pd/Frigidaire-Gallery-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000484135,['Counter-Depth Refrigerators']
1185,1185,Samsung ,Family Hub Wi-Fi Enabled Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1030905,RF22N9781SG,https://www.lowes.com/pd/Samsung-Family-Hub-Wi-Fi-Enabled-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000437523,['Counter-Depth Refrigerators']
1186,1186,Electrolux ,22.3-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel),690108,EI23BC82SS,https://www.lowes.com/pd/Electrolux-22-3-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000458529,['Counter-Depth Refrigerators']
1187,1187,Samsung ,Family Hub Wi-Fi Enabled Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1038970,RF22N9781SR,https://www.lowes.com/pd/Samsung-Family-Hub-Wi-Fi-Enabled-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000437527,['Counter-Depth Refrigerators']
1188,1188,Frigidaire,Gallery 21.7-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,964906,FGHD2368TD,https://www.lowes.com/pd/Frigidaire-Gallery-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000363853,['Counter-Depth Refrigerators']
1189,1189,Frigidaire,21.7-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,964911,FFHD2250TS,https://www.lowes.com/pd/Frigidaire-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000362389,['Counter-Depth Refrigerators']
1190,1190,Whirlpool,20.6-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless),490609,WRS571CIHV,https://www.lowes.com/pd/Whirlpool-20-6-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless/1000356421,['Counter-Depth Refrigerators']
1191,1191,GE,17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,1073617,GYE18JEMDS,https://www.lowes.com/pd/GE-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000432289,['Counter-Depth Refrigerators']
1192,1192,Samsung,Family Hub Wi-Fi Enabled Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1030905,RF22N9781SG,https://www.lowes.com/pd/Samsung-Family-Hub-Wi-Fi-Enabled-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000437523,['Counter-Depth Refrigerators']
1193,1193,GE,Profile 23.1-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,1073621,PWE23KELDS,https://www.lowes.com/pd/GE-Profile-23-1-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000448019,['Counter-Depth Refrigerators']
1194,1194,Samsung,Family Hub Wi-Fi Enabled Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1038970,RF22N9781SR,https://www.lowes.com/pd/Samsung-Family-Hub-Wi-Fi-Enabled-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000437527,['Counter-Depth Refrigerators']
1195,1195,KitchenAid,21.9-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Interior Dispense - Stainless Steel,735646,KRFC302ESS,https://www.lowes.com/pd/KitchenAid-21-9-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/50426210,['Counter-Depth Refrigerators']
1196,1196,Whirlpool,19.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (White Ice),738030,WRS970CIDH,https://www.lowes.com/pd/Whirlpool-19-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-White-Ice/50426214,['Counter-Depth Refrigerators']
1197,1197,Whirlpool,19.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Monochromatic Stainless Steel),738031,WRS970CIDM,https://www.lowes.com/pd/Whirlpool-19-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Monochromatic-Stainless-Steel/50426216,['Counter-Depth Refrigerators']
1198,1198,Whirlpool,19.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Black Ice),738029,WRS970CIDE,https://www.lowes.com/pd/Whirlpool-19-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Black-Ice/50426212,['Counter-Depth Refrigerators']
1199,1199,Bosch,800 10.07-cu ft Counter-depth Bottom-Freezer Refrigerator (Black) ENERGY STAR,538181,B10CB80NVB,https://www.lowes.com/pd/Bosch-800-10-07-cu-ft-Counter-depth-Bottom-Freezer-Refri/50408914,['Counter-Depth Refrigerators']
1200,1200,GE ,21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Black),577379,GZS22DGJBB,https://www.lowes.com/pd/GE-21-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Black/50426798,['Counter-Depth Refrigerators']
1201,1201,KitchenAid ,20-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Interior Dispense - White,570359,KRFC300EWH,https://www.lowes.com/pd/KitchenAid-20-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-White-ENERGY-STAR/50415262,['Counter-Depth Refrigerators']
1202,1202,MARVEL ,Low Profile 4.6-cu ft Built-In/Freestanding Mini Fridge (Stainless Steel),657107,MA24RAS2RS,https://www.lowes.com/pd/MARVEL-Low-Profile-4-6-cu-ft-Built-In-Freestanding-Mini-Fridge-Stainless-Steel/50323421,['Counter-Depth Refrigerators']
